trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
387,False,"{'a': 0.0099, 'e': 0.02168141146620822}",30,4,-26.784901225773957,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 1}",1
388,False,"{'a': 0.0099, 'e': 0.021467824492680476}",25,20,8.570088425749791,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.0099, 'e': 0.02125634159781624}",25,0,29.82204451477744,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
390,False,"{'a': 0.0099, 'e': 0.02104694205400769}",20,3,22.79318301763323,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
391,False,"{'a': 0.0099, 'e': 0.020839605337837918}",30,23,15.316777752185057,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.0099, 'e': 0.020634311128069394}",30,16,18.660318555851216,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.0099, 'e': 0.020431039303652285}",25,8,19.210679161388875,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.0099, 'e': 0.02022976994175236}",30,12,28.710141609371682,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.0099, 'e': 0.020030483315798344}",30,0,48.05875484459696,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
396,False,"{'a': 0.0099, 'e': 0.019833159893548495}",25,10,26.092023620289375,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.0099, 'e': 0.01963778033517624}",25,17,15.124880823118795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.0099, 'e': 0.019444325491374672}",25,5,28.509422423776407,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.0099, 'e': 0.01925277640147968}",20,13,13.297208005005066,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
400,False,"{'a': 0.0099, 'e': 0.019063114291611626}",20,12,14.704136927867843,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.0099, 'e': 0.018875320572835308}",20,15,9.37068310610965,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.0099, 'e': 0.018689376839338013}",25,8,-11.359771047689508,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
403,False,"{'a': 0.0099, 'e': 0.018505264866625574}",35,8,-42.88345123226903,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 2}",1
404,False,"{'a': 0.0099, 'e': 0.018322966609736164}",30,4,44.99583099217554,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.0099, 'e': 0.0181424642014717}",20,0,25.808776341551482,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
406,False,"{'a': 0.0099, 'e': 0.01796373995064665}",35,10,31.586454186500948,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.0099, 'e': 0.017786776340354124}",30,12,28.07600927556432,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.0099, 'e': 0.017611556026249014}",25,9,28.717577946066275,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.0099, 'e': 0.017438061834848077}",25,7,34.99856948811109,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.0099, 'e': 0.01726627676184673}",20,13,5.837217634309648,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.0099, 'e': 0.017096183970452452}",35,21,24.54868765895367,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.0099, 'e': 0.0169277667897346}",25,7,31.497136903278342,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.0099, 'e': 0.01676100871299048}",30,18,18.928871903733828,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.0099, 'e': 0.016595893396127492}",20,12,16.074020206429427,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.0099, 'e': 0.016432404656061262}",20,6,22.341707910867914,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.0099, 'e': 0.0162705264691295}",25,3,31.572941785222866,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.0099, 'e': 0.016110242969521522}",35,27,10.254307378908734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.0099, 'e': 0.015951538447723224}",25,0,20.37380700378709,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
419,False,"{'a': 0.0099, 'e': 0.015794397348977383}",20,8,21.51858455004391,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.0099, 'e': 0.015638804271759118}",25,10,28.734438276345568,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.0099, 'e': 0.015484743966266382}",20,9,21.563437375434393,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.0099, 'e': 0.015332201332925306}",20,12,14.145435377099338,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.0099, 'e': 0.015181161420910286}",20,8,19.596362284307205,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.0099, 'e': 0.015031609426678638}",20,0,26.341140983530845,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
425,False,"{'a': 0.0099, 'e': 0.014883530692519692}",20,14,14.39665580086387,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.0099, 'e': 0.014736910705118175}",20,3,15.159701127422379,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
427,False,"{'a': 0.0099, 'e': 0.014591735094131753}",25,19,12.038209642340693,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.0099, 'e': 0.01444798963078258}",25,7,30.59073025514817,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
429,False,"{'a': 0.0099, 'e': 0.014305660226462727}",30,3,41.059385531193485,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
430,False,"{'a': 0.0099, 'e': 0.01416473293135334}",25,10,22.583883102907567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
431,False,"{'a': 0.0099, 'e': 0.014025193933057414}",25,3,22.99144543231976,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
432,False,"{'a': 0.0099, 'e': 0.013887029555246023}",20,15,11.438053919949027,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
433,False,"{'a': 0.0099, 'e': 0.0137502262563179}",20,0,34.52557304293495,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
434,False,"{'a': 0.0099, 'e': 0.013614770628072205}",30,9,36.13652746698814,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
435,False,"{'a': 0.0099, 'e': 0.013480649394394383}",25,12,21.90507943231683,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.0099, 'e': 0.013347849409954954}",25,15,16.188708284317624,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
437,False,"{'a': 0.0099, 'e': 0.01321635765892114}",30,14,26.59865309462501,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
438,False,"{'a': 0.0099, 'e': 0.01308616125368116}",25,4,29.579618837657964,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.0099, 'e': 0.012957247433581119}",25,15,17.62083428510817,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.0099, 'e': 0.012829603563674309}",30,17,20.705412363182187,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.0099, 'e': 0.012703217133482863}",20,9,17.530832808852235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.0099, 'e': 0.012578075755771585}",30,14,26.885022626887352,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.0099, 'e': 0.012454167165333884}",35,21,25.66718110424204,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.0099, 'e': 0.012331479217789596}",20,13,12.254343579414407,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.0099, 'e': 0.012209999888394786}",20,0,27.277127198735926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
446,False,"{'a': 0.0099, 'e': 0.012089717270863132}",20,9,18.50780948666148,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.0099, 'e': 0.011970619576199007}",20,0,29.420891794837182,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
448,False,"{'a': 0.0099, 'e': 0.011852695131542017}",35,15,30.60030731696595,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.0099, 'e': 0.011735932379022944}",20,0,30.854485550630024,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
450,False,"{'a': 0.0099, 'e': 0.011620319874630945}",20,14,9.53403688349935,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.0099, 'e': 0.011505846287091915}",20,14,12.28345660239209,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.0099, 'e': 0.011392500396757904}",30,17,22.45392034772666,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
453,False,"{'a': 0.0099, 'e': 0.01128027109450747}",25,15,19.99283779198452,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.0099, 'e': 0.011169147380656856}",25,19,11.876850464997245,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.0099, 'e': 0.011059118363881916}",25,0,31.086807591913292,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
456,False,"{'a': 0.0099, 'e': 0.010950173260150636}",20,4,27.454411599661125,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.0099, 'e': 0.01084230139166619}",20,13,3.9643969293844714,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.0099, 'e': 0.010735492185820395}",30,18,20.232489105801513,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.0099, 'e': 0.010629735174157485}",25,14,18.56953091367592,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
